,Year,Model,Condition,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
37,2021,civic lx,Used,4.2,gray,gray,FWD,30–38,Gasoline,automatic cvt,2.0L I4 16V MPFI DOHC,15802,4.6,4.7,4.7,4.6,4.8,4.6,ID,Dealer
38,2019,passport elite,Used,5.0,modern steel metallic,mocha,AWD,19–24,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,27170,4.8,4.7,4.7,4.6,4.7,4.8,OH,Dealer
39,2023,cr-v ex,New,4.7,platinum white pearl,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,4.0,4.0,5.0,IA,Dealer
40,2020,ridgeline rtl,Used,5.0,crystal black pearl,black,FWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,62327,4.8,4.7,4.6,4.5,4.7,4.7,FL,Dealer
41,2022,pilot sport,New,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
42,2019,ridgeline rtl-t,Used,4.8,modern steel metallic,gray,FWD,19–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,79967,4.9,4.8,4.8,4.6,4.7,4.9,TN,Dealer
43,2019,cr-v ex-l,Used,5.0,crystal black pearl,black,FWD,28–34,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,38370,4.8,4.8,4.7,4.7,4.8,4.8,AR,Dealer
44,2020,civic sport,Used,4.6,silver,black,FWD,29–37,Gasoline,automatic cvt,2.0L I4 16V MPFI DOHC,48365,4.8,4.8,4.9,4.8,4.9,4.9,AL,Dealer
45,2022,pilot trailsport,New,5.0,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,4,5.0,5.0,5.0,5.0,5.0,5.0,LA,Dealer
46,2022,accord sport 1.5t,New,4.8,still night pearl,mocha,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer
47,2023,ridgeline rtl-e,New,4.8,white,mocha,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,7,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
48,2016,odyssey ex-l,Used,4.7,silver,beige,FWD,19–28,Gasoline,6-speed automatic,3.5L V6 24V MPFI SOHC,87512,4.8,4.6,4.7,4.6,4.7,4.8,IL,Dealer
49,2019,ridgeline rtl,Used,4.8,blue,gray,AWD,18–25,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,58583,4.9,4.8,4.8,4.6,4.7,4.9,TN,Dealer
50,2019,pilot ex-l,Used,4.5,steel sapphire metallic,gray,AWD,18–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,23334,4.8,4.7,4.7,4.6,4.7,4.8,OH,Dealer
51,2022,insight ex,Honda Certified,4.9,crystal black pearl,black,FWD,49–55,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,19973,4.7,4.6,4.7,3.6,4.9,5.0,MI,Dealer
52,2022,cr-v ex-l,New,4.8,platinum white pearl,black,AWD,27–32,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,3,4.9,4.8,4.7,4.8,4.7,4.9,CT,Dealer
53,2018,clarity plug-in hybrid touring,Used,4.0,silver,black,FWD,23–31,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,37921,4.8,4.7,4.6,4.6,4.4,4.7,IL,Dealer
54,2021,accord hybrid touring,Used,4.0,radiant red metallic,gray,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,28945,4.7,4.5,4.5,4.4,4.6,4.4,IN,Dealer
55,2023,cr-v ex,New,5.0,canyon river blue metallic,b-640m/black,FWD,28–34,Gasoline,cvt,4 Cylinder Engine,6,5.0,5.0,5.0,4.0,4.0,5.0,CA,Dealer
56,2019,cr-v lx,Used,4.9,gray,mocha,FWD,26–32,Gasoline,automatic cvt,2.4L I4 16V GDI DOHC,46988,4.8,4.8,4.7,4.7,4.8,4.8,FL,Dealer
57,2023,passport elite,New,4.7,platinum white pearl,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,4.8,4.6,5.0,4.3,4.6,4.8,CA,Dealer
58,2018,cr-v ex-l,Used,4.0,beige,sport,AWD,27–33,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,11237,4.8,4.7,4.7,4.6,4.7,4.7,IL,Dealer
59,2022,passport trailsport,New,4.8,radiant red metallic ii,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,4.9,5.0,4.9,5.0,WA,Dealer
60,2020,accord touring,Used,4.8,white,beige,FWD,22–32,Gasoline,10-speed automatic,4 Cylinder Engine,53122,4.8,4.8,4.8,4.8,4.9,4.9,UT,Dealer
61,2022,pilot sport,New,4.8,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,8,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
62,2022,passport elite,New,4.9,platinum white pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,4.9,5.0,4.9,5.0,TX,Dealer
63,2023,civic touring,New,4.7,sonic gray pearl,black,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,10,4.9,5.0,5.0,4.4,4.5,5.0,WA,Dealer
64,2008,civic ex,Used,4.4,alabaster silver metallic,gray,FWD,26–34,Gasoline,5-speed manual,1.8L I4 16V MPFI SOHC,15630,4.2,4.4,4.3,4.5,4.5,4.7,PA,Dealer
65,2013,pilot ex-l w/ navigation,Used,4.4,polished metal metallic,black,4WD,17–24,Gasoline,5-speed automatic,3.5L V6 24V MPFI SOHC,88292,4.6,4.5,4.4,4.6,4.4,4.7,CT,Dealer
66,2022,pilot ex-l,New,5.0,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,12,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
67,2023,ridgeline rtl,New,5.0,radiant red metallic ii,black,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
68,2021,accord lx 1.5t,Used,4.3,white,mocha,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,27562,4.9,4.8,4.8,4.8,4.9,4.8,TX,Dealer
69,2014,civic si,Used,4.2,taffeta white,red / black,FWD,22–31,Gasoline,6-speed manual,2.4L I4 16V MPFI DOHC,47811,4.5,4.5,4.5,4.6,4.6,4.8,PA,Dealer
70,2022,accord sport 1.5t,New,5.0,platinum white pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
71,2023,odyssey ex-l,New,4.4,platinum white pearl,mocha,FWD,23–31,Gasoline,10-speed automatic with overdrive,3.5L V6 24V GDI SOHC,5,5.0,5.0,4.0,4.0,4.0,5.0,LA,Dealer
72,2022,accord hybrid sport,New,5.0,lunar silver metallic,black,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,0,4.9,5.0,5.0,4.9,4.9,5.0,NC,Dealer
73,2022,insight touring,Honda Certified,4.6,lunar silver metallic,black,FWD,45–51,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,5527,4.6,4.9,5.0,4.7,5.0,4.5,MN,Dealer
74,2022,accord sport 1.5t,New,5.0,sonic gray pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5471,5.0,5.0,5.0,5.0,5.0,5.0,CT,Dealer
75,2023,odyssey elite,New,5.0,crystal black pearl,black,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
76,2023,cr-v ex,New,4.7,crystal black pearl,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,14,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
77,2023,cr-v ex-l,New,4.2,still night,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,168,5.0,5.0,5.0,4.0,4.0,5.0,OH,Dealer
78,2016,pilot ex-l,Used,4.8,lunar silver metallic,gray,AWD,18–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,112005,4.7,4.6,4.5,4.4,4.6,4.6,IL,Dealer
79,2019,passport ex-l,Used,4.9,crystal black pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,29077,4.8,4.7,4.7,4.6,4.7,4.8,MN,Dealer
80,2019,passport ex-l,Used,5.0,black copper pearl,gray,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,48052,4.8,4.7,4.7,4.6,4.7,4.8,NC,Dealer
81,2016,civic ex-t,Used,5.0,crystal black pearl,black,FWD,31–42,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,155097,4.6,4.6,4.6,4.6,4.8,4.6,MD,Dealer
82,2021,passport ex-l,Used,4.9,platinum white pearl,mocha,FWD,20–25,Gasoline,9-speed automatic,V6 Cylinder Engine,17025,4.9,4.7,4.8,4.6,4.8,4.8,NC,Dealer
83,2020,odyssey ex-l,Used,4.7,platinum white pearl,mocha,FWD,0–19,Gasoline,10-speed automatic,V6 Cylinder Engine,45669,4.8,4.8,4.7,4.6,4.7,4.7,TX,Dealer
84,2018,accord ex-l 2.0t,Used,4.8,platinum white pearl,black,FWD,23–34,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,57520,4.8,4.8,4.7,4.7,4.8,4.8,SD,Dealer
85,2023,cr-v hybrid sport,New,4.4,crystal black pearl,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,3,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
86,2023,cr-v ex-l,New,5.0,crystal black pearl,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,4.0,4.0,5.0,IL,Dealer
87,2023,ridgeline rtl-e,Used,4.8,blue,mocha,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,1000,5.0,4.8,4.8,4.2,5.0,5.0,OH,Dealer
88,2019,pilot ex-l,Used,4.2,white diamond pearl,black,AWD,18–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,66153,4.8,4.7,4.7,4.6,4.7,4.8,KY,Dealer
89,2022,pilot sport,New,4.8,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
90,2022,accord sport 1.5t,New,4.8,platinum white pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
91,2018,odyssey elite,Used,4.5,burgundy,beige,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,37768,4.8,4.7,4.6,4.3,4.7,4.6,WA,Dealer
92,2016,accord lx,Used,4.0,obsidian blue pearl,gray,FWD,27–37,Gasoline,automatic cvt,2.4L I4 16V GDI DOHC,93774,4.8,4.7,4.7,4.7,4.8,4.8,MO,Dealer
93,2022,pilot trailsport,New,4.4,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,5.0,5.0,5.0,5.0,SC,Dealer
94,2023,civic sport,New,4.6,rallye red,black,FWD,23–31,Gasoline,6-speed manual,2.0L I4 16V GDI DOHC,5,4.8,4.9,4.7,4.6,4.6,4.8,CO,Dealer
95,2022,insight touring,Honda Certified,4.5,platinum white pearl,ivory,FWD,45–51,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,18069,4.9,4.8,4.7,4.8,4.0,4.7,FL,Dealer
96,2015,accord sport,Used,4.0,burgundy,black,FWD,26–35,Gasoline,automatic cvt,2.4L I4 16V GDI DOHC,45656,4.7,4.6,4.7,4.7,4.7,4.8,IL,Dealer
97,2019,odyssey ex-l w/navigation/res,Used,4.2,crystal black pearl,mocha,FWD,19–28,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,37711,4.8,4.6,4.5,4.3,4.7,4.5,NY,Dealer
98,2021,pilot special edition,Honda Certified,4.3,black,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,26181,4.9,4.8,4.8,4.7,4.7,4.8,MA,Dealer
99,2014,crosstour ex-l,Used,4.8,crystal black pearl,black,4WD,19–28,Gasoline,6-speed automatic,3.5L V6 24V MPFI SOHC,92830,4.8,4.8,5.0,4.6,4.7,4.8,IN,Dealer
100,2023,cr-v ex,New,5.0,platinum white pearl,gray,AWD,27–32,Gasoline,variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,10,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
101,2019,clarity plug-in hybrid touring,Used,4.3,solar silver metallic,black,FWD,23–31,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,54910,4.9,4.9,4.9,5.0,4.7,5.0,CA,Dealer
102,2021,accord hybrid touring,Used,4.5,white,ivory,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,24470,4.7,4.5,4.5,4.4,4.6,4.4,AL,Dealer
103,2015,cr-z ex,Used,4.8,blue,black,FWD,23–31,Hybrid,automatic cvt,1.5L I4 16V MPFI SOHC Hybrid,41688,4.5,4.7,4.7,4.9,4.9,5.0,IL,Dealer
104,2021,pilot special edition,Used,4.8,platinum white pearl,gray,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,26054,4.9,4.8,4.8,4.7,4.7,4.8,OH,Dealer
105,2021,pilot ex-l,Used,4.0,steel sapphire metallic,gray,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,34713,4.9,4.8,4.8,4.7,4.7,4.8,IN,Dealer
