,Year,Model,Condition,Consumer_Rating,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,Mileage,Comfort_Rating,Interior_Design_Rating,Performance_Rating,Value_For_Money_Rating,Exterior_Styling_Rating,Reliability_Rating,State,Seller_Type
261,2023,cr-v hybrid sport touring,New,5.0,still night pearl,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,15,5.0,3.0,4.0,4.0,5.0,5.0,IL,Dealer
262,2022,accord sport 1.5t,New,2.9,crystal black pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,0,5.0,5.0,5.0,5.0,5.0,5.0,MD,Dealer
263,2022,accord lx 1.5t,Used,4.7,silver,black,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,14073,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
264,2023,cr-v hybrid sport touring,New,4.4,still night pearl,black,AWD,23–31,Hybrid,1-speed cvt with overdrive,2.0L I4 16V GDI DOHC Hybrid,4,5.0,3.0,4.0,4.0,5.0,5.0,LA,Dealer
265,2022,cr-v hybrid touring,Honda Certified,5.0,modern steel metallic,black,AWD,35–40,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,11743,4.6,4.9,4.5,4.6,4.8,4.7,MO,Dealer
266,2023,cr-v ex-l,New,4.7,lunar silver metallic,blk lth,AWD,27–32,Gasoline,cvt,4 Cylinder Engine,71,5.0,5.0,5.0,4.0,4.0,5.0,MI,Dealer
267,2023,civic ex,New,5.0,lunar silver metallic,black,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,14,4.6,4.6,4.4,5.0,4.9,5.0,GA,Dealer
268,2021,insight ex,Used,5.0,modern steel metallic,gray,FWD,49–55,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,10648,5.0,5.0,5.0,5.0,5.0,5.0,NJ,Dealer
269,2019,hr-v sport,Used,4.7,aegean blue metallic,mocha,FWD,28–34,Gasoline,cvt w/sport mode,4 Cylinder Engine,26314,4.6,4.6,4.4,4.6,4.8,4.7,TN,Dealer
270,2018,accord sport,Used,4.8,crystal black pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,36027,4.8,4.8,4.7,4.7,4.8,4.8,WA,Dealer
271,2018,accord touring,Used,4.3,kona coffee metallic,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,20865,4.8,4.8,4.7,4.7,4.8,4.8,MN,Dealer
272,2021,passport ex-l,Honda Certified,5.0,obsidian blue pearl,gray,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,9121,4.9,4.7,4.8,4.6,4.8,4.8,MA,Dealer
273,2023,pilot elite,New,4.8,lunar silver,gray,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI DOHC,0,4.7,5.0,5.0,4.7,4.8,5.0,TX,Dealer
274,2006,element lx,Used,3.9,silver,gray / blue,FWD,22–26,Gasoline,4-speed automatic,2.4L I4 16V MPFI DOHC,152767,4.2,4.4,4.1,4.5,4.5,4.6,IN,Dealer
275,2023,pilot trailsport,New,4.9,sonic gray pearl,black,AWD,18–23,Gasoline,10-speed automatic,V6 Cylinder Engine,0,4.6,4.6,4.8,5.0,4.8,4.8,MA,Dealer
276,2021,pilot special edition,Honda Certified,4.9,lunar silver metallic,gray,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,24442,4.9,4.8,4.8,4.7,4.7,4.8,MN,Dealer
277,2020,civic sport,Used,4.9,blue,mocha,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,26765,4.8,4.8,4.9,4.8,4.9,4.9,KS,Dealer
278,2020,accord lx 1.5t,Used,5.0,modern steel metallic,black,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,10539,4.8,4.8,4.8,4.8,4.9,4.9,MN,Dealer
279,2015,pilot se,Used,4.0,white,gray,4WD,17–24,Gasoline,5-speed automatic,3.5L V6 24V MPFI SOHC,53630,4.8,4.7,4.7,4.8,4.6,4.9,IL,Dealer
280,2022,cr-v ex,New,3.9,crystal black,black,AWD,27–32,Gasoline,variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,10,4.9,4.8,4.7,4.8,4.7,4.9,WI,Dealer
281,2022,accord sport 1.5t,New,4.8,still night pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,3,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
282,2023,cr-v hybrid sport,Used,4.4,blue,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,385,5.0,3.0,4.0,4.0,5.0,5.0,OH,Dealer
283,2019,accord sport,Used,4.7,blue,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,41554,4.7,4.7,4.7,4.7,4.8,4.8,NE,Dealer
284,2020,accord sport 1.5t,Used,4.6,san marino red,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,22160,4.8,4.8,4.8,4.8,4.9,4.9,OR,Dealer
285,2023,cr-v ex,New,4.7,platinum white pearl,gray,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,7,5.0,5.0,5.0,4.0,4.0,5.0,IN,Dealer
286,2023,pilot touring,New,5.0,sonic gray pearl,black,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI DOHC,1,4.7,4.6,4.8,4.0,4.6,4.8,CO,Dealer
287,2023,cr-v hybrid sport touring,New,4.4,platinum white pearl,gray,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,25,5.0,3.0,4.0,4.0,5.0,5.0,IN,Dealer
288,2020,passport ex-l,Used,4.8,platinum white pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,56996,4.9,4.8,4.8,4.6,4.8,4.8,PA,Dealer
289,2020,cr-v hybrid ex-l,Used,4.1,platinum,mocha,AWD,35–40,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,9659,4.7,4.6,4.3,4.3,4.6,4.6,FL,Dealer
290,2020,passport sport,Used,3.9,crystal black pearl,black,FWD,20–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,36794,4.9,4.8,4.8,4.6,4.8,4.8,NC,Dealer
291,2022,pilot ex-l,New,4.8,crystal black pearl,black,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,5.0,5.0,5.0,5.0,TX,Dealer
292,2023,cr-v hybrid sport touring,New,4.9,platinum white pearl,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,0,5.0,3.0,4.0,4.0,5.0,5.0,OR,Dealer
293,2023,odyssey elite,New,5.0,obsidian blue pearl,gray,FWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,1,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
294,2017,civic ex,Used,4.2,modern steel metallic,black,FWD,31–40,Gasoline,automatic cvt,2.0L I4 16V MPFI DOHC,58761,4.7,4.7,4.8,4.8,4.8,4.8,MO,Dealer
295,2022,civic ex,Used,4.6,meteorite gray metallic,black,FWD,33–42,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,21968,4.6,4.9,4.4,4.6,4.6,4.7,OR,Dealer
296,2023,pilot elite,New,4.8,modern steel metallic,mocha,AWD,23–31,Gasoline,10-speed automatic,3.5L V6 DOHC 24V,1,4.9,5.0,4.5,5.0,5.0,4.9,IL,Dealer
297,2021,insight touring,Used,5.0,white,gray,FWD,45–51,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,21011,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
298,2021,pilot special edition,Used,5.0,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,33525,4.9,4.8,4.8,4.7,4.7,4.8,NE,Dealer
299,2023,odyssey sport,New,4.4,radiant red metallic ii,black,FWD,19–28,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,5,5.0,5.0,4.0,4.0,4.0,5.0,VA,Dealer
300,2020,pilot ex-l,Honda Certified,4.3,crystal black,gray,FWD,19–27,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,20109,4.6,4.5,4.2,4.1,4.5,4.1,LA,Dealer
301,2023,pilot elite,New,3.9,sonic gray pearl,black,AWD,19–25,Gasoline,automatic,Premium Unleaded V-6 3.5 L/212,1,4.6,4.9,4.0,4.5,4.8,4.7,WI,Dealer
302,2022,hr-v lx,Used,4.7,lunar silver metallic,gray,AWD,27–31,Gasoline,cvt,4 Cylinder Engine,1547,3.8,3.2,3.6,3.6,4.2,4.2,MN,Dealer
303,2023,pilot ex-l 7-passenger,New,4.7,platinum white pearl,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI DOHC,5,4.6,4.1,4.7,4.7,4.6,4.7,FL,Dealer
304,2019,odyssey elite,Used,4.8,obsidian blue pearl,gray,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,70521,4.8,4.6,4.5,4.3,4.7,4.5,FL,Dealer
305,2023,civic si base,New,4.7,crystal black pearl,red / black,FWD,23–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,11,5.0,4.3,4.9,4.4,4.7,5.0,FL,Dealer
306,2023,odyssey touring,New,4.8,radiant red metallic ii,beige,FWD,23–31,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,5.0,4.0,4.0,4.0,5.0,AZ,Dealer
307,2022,pilot sport,New,5.0,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
308,2019,civic si base,Used,4.7,platinum white pearl,mocha,FWD,28–38,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,36427,4.7,4.8,4.7,4.8,4.8,4.9,AZ,Dealer
309,2022,accord hybrid touring,New,4.5,crystal black pearl,mocha,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,4,4.9,5.0,5.0,4.9,4.9,5.0,TX,Dealer
310,2018,pilot ex-l,Used,4.5,white,gray,AWD,18–26,Gasoline,6-speed automatic,V6 Cylinder Engine,69168,4.7,4.6,4.7,4.5,4.6,4.7,WA,Dealer
311,2022,passport trailsport,Honda Certified,5.0,sonic gray pearl,black,AWD,19–24,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,12491,5.0,5.0,4.9,5.0,4.9,5.0,PA,Dealer
312,2023,ridgeline black edition,New,4.5,sonic gray pearl,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
313,2019,insight ex,Used,4.4,crystal black pearl,black,FWD,49–55,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,74480,4.6,4.8,4.5,4.7,4.8,4.8,OH,Dealer
314,2018,civic type r touring,Used,4.6,championship white,red / black,FWD,22–28,Gasoline,6-speed manual,2.0L I4 16V GDI DOHC Turbo,29802,4.5,4.7,4.9,4.7,4.7,4.8,WI,Dealer
315,2022,accord hybrid sport,New,2.4,platinum white pearl,black,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,3,4.9,5.0,5.0,4.9,4.9,5.0,IL,Dealer
316,2016,fit lx,Used,4.7,red,mocha,FWD,33–41,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC,28023,4.2,4.5,4.4,4.6,4.5,4.7,FL,Dealer
317,2023,civic si,New,4.2,platinum white pearl,red / black,FWD,27–37,Gasoline,manual,Intercooled Turbo Premium Unleaded I-4 1.5 L/91,5,4.9,5.0,4.8,4.8,4.8,4.5,NJ,Dealer
318,2022,pilot trailsport,New,4.8,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,5,5.0,5.0,5.0,5.0,5.0,5.0,KS,Dealer
319,2023,cr-v hybrid sport touring,New,5.0,lunar silver metallic,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,5,5.0,3.0,4.0,4.0,5.0,5.0,MO,Dealer
320,2022,pilot touring 7-passenger,New,4.4,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
321,2023,ridgeline black edition,New,5.0,sonic gray pearl,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,6,5.0,4.8,4.8,4.2,5.0,5.0,VA,Dealer
322,2020,hr-v lx,Used,4.8,gray,black,AWD,27–31,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,2235,4.7,4.8,4.7,4.8,4.8,4.7,MN,Dealer
323,2020,pilot touring 7-passenger,Used,5.0,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,30300,4.6,4.5,4.2,4.1,4.5,4.1,MO,Dealer
324,2019,civic sport,Used,4.9,silver,black,FWD,29–36,Gasoline,automatic cvt,2.0L I4 16V MPFI DOHC,64276,4.8,4.8,4.9,4.8,4.9,4.9,FL,Dealer
325,2022,pilot special edition,New,3.0,platinum white,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,7,5.0,5.0,5.0,5.0,5.0,5.0,AL,Dealer
326,2010,civic hybrid,Used,4.3,silver,blue,FWD,40–45,Hybrid,automatic cvt,1.3L I4 8V MPFI SOHC Hybrid,129577,4.5,4.4,3.7,4.4,4.4,4.4,NJ,Dealer
327,2022,passport elite,New,5.0,white,mocha,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,5.0,4.9,5.0,4.9,5.0,MA,Dealer
328,2023,cr-v hybrid sport touring,New,5.0,lunar silver metallic,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,1,5.0,3.0,4.0,4.0,5.0,5.0,CO,Dealer
329,2020,accord ex 1.5t,Honda Certified,4.7,lunar silver metallic,black,FWD,30–38,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,59274,4.8,4.8,4.8,4.8,4.9,4.9,OH,Dealer
330,2023,ridgeline rtl-e,New,5.0,lunar silver,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,5.0,4.8,4.8,4.2,5.0,5.0,TX,Dealer
331,2018,cr-v ex-l,Used,4.7,white,tan,AWD,27–33,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,42082,4.8,4.7,4.7,4.6,4.7,4.7,FL,Dealer
332,2018,odyssey elite,Used,4.5,white diamond pearl,beige,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,114127,4.8,4.7,4.6,4.3,4.7,4.6,FL,Dealer
333,2018,hr-v lx,Used,4.8,green,mocha,FWD,28–34,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,33872,4.7,4.5,4.7,4.6,4.8,4.8,NM,Dealer
334,2022,pilot trailsport,New,4.7,sonic gray pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,5.0,5.0,5.0,5.0,5.0,5.0,FL,Dealer
335,2019,odyssey elite,Used,4.6,deep scarlet pearl,mocha,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,14459,4.8,4.6,4.5,4.3,4.7,4.5,TX,Dealer
336,2022,pilot special edition,New,4.1,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,CA,Dealer
337,2019,ridgeline black edition,Used,3.5,black,black,AWD,18–25,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,7476,4.9,4.8,4.8,4.6,4.7,4.9,WA,Dealer
338,2023,cr-v ex-l,New,4.7,urban gray pearl,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,2,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
339,2015,crosstour ex-l,Used,3.0,white,black,4WD,19–28,Gasoline,6-speed automatic,3.5L V6 24V MPFI SOHC,81683,4.7,4.8,4.6,4.5,4.7,4.8,NY,Dealer
340,2019,insight lx,Used,4.1,black,black,FWD,49–55,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,133972,4.6,4.8,4.5,4.7,4.8,4.8,CA,Dealer
341,2019,insight ex,Used,5.0,gray,black,FWD,49–55,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,51106,4.6,4.8,4.5,4.7,4.8,4.8,FL,Dealer
342,2022,pilot sport,New,3.4,platinum white pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,VA,Dealer
343,2023,passport elite,New,4.6,radiant red metallic ii,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,3,4.8,4.8,5.0,3.7,4.5,5.0,NC,Dealer
344,2023,pilot touring,New,4.7,crystal black pearl,mocha,FWD,23–31,Gasoline,automatic,3.5L V6 24V GDI DOHC,5,5.0,4.8,4.8,5.0,4.8,4.8,FL,Dealer
345,2023,cr-v hybrid sport touring,New,4.8,silver,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,2,5.0,3.0,4.0,4.0,5.0,5.0,KY,Dealer
346,2023,cr-v ex-l,New,4.8,still night pearl,mocha,FWD,23–31,Gasoline,automatic cvt,1.5L 4 Cylinder,5,5.0,5.0,5.0,4.0,4.0,5.0,GA,Dealer
347,2023,passport ex-l,New,4.4,platinum white pearl,black,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,5,4.8,4.4,4.9,4.3,4.9,4.8,PA,Dealer
348,2022,accord sport 2.0t,New,4.4,still night pearl,black,FWD,22–32,Gasoline,10-speed automatic,2.0L I4 16V GDI DOHC Turbo,0,5.0,5.0,5.0,5.0,5.0,5.0,PA,Dealer
349,2023,civic sport touring,New,4.7,platinum white pearl,mocha,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5,4.7,4.2,5.0,4.2,5.0,4.6,FL,Dealer
350,2018,civic sport,Used,4.4,white orchid pearl,black / ivory,FWD,29–38,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,49793,4.7,4.7,4.8,4.8,4.9,4.8,NH,Dealer
351,2023,ridgeline black edition,New,4.4,platinum,black,AWD,23–31,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,10,5.0,4.8,4.8,4.2,5.0,5.0,VA,Dealer
352,2023,civic si base,New,5.0,crystal black pearl,red / black,FWD,23–31,Gasoline,6-speed manual,1.5L I4 16V GDI DOHC Turbo,3,4.8,4.6,4.8,4.7,4.7,4.6,FL,Dealer
353,2023,odyssey ex-l,New,4.4,modern steel metallic,gray,FWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,15,5.0,5.0,4.0,4.0,4.0,5.0,MN,Dealer
354,2020,passport touring,Used,4.8,crystal black pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,24171,4.9,4.8,4.8,4.6,4.8,4.8,AK,Dealer
355,2022,cr-v ex,New,4.7,platinum white pearl,black,FWD,28–34,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,2,4.9,4.8,4.7,4.8,4.7,4.9,IL,Dealer
356,2022,odyssey ex,Used,4.5,silver gray,mocha,FWD,19–28,Gasoline,10-speed automatic,3.5L V6 24V GDI SOHC,28229,4.3,4.4,4.3,4.1,4.3,4.3,TX,Dealer
357,2023,cr-v ex-l,New,4.6,crystal black pearl,black,AWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,6,5.0,5.0,5.0,4.0,4.0,5.0,MN,Dealer
358,2022,pilot sport,New,5.0,platinum white pearl,black,FWD,20–27,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,18,5.0,5.0,5.0,5.0,5.0,5.0,NC,Dealer
359,2019,passport touring,Used,5.0,black,mocha,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,19218,4.8,4.7,4.7,4.6,4.7,4.8,WA,Dealer
360,2022,civic sport touring,New,4.4,platinum,gray,FWD,30–37,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,1,4.6,4.9,4.4,4.6,4.6,4.7,FL,Dealer
361,2023,ridgeline rtl-e,New,4.8,platinum white pearl,bge lth,AWD,18–24,Gasoline,9-speed automatic,V6 Cylinder Engine,4,5.0,4.8,4.8,4.2,5.0,5.0,MI,Dealer
362,2022,pilot sport,New,4.8,platinum white pearl,black,AWD,19–26,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,0,5.0,5.0,5.0,5.0,5.0,5.0,GA,Dealer
363,2021,cr-v ex-l,Used,4.4,sonic gray pearl,black,AWD,27–32,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,44738,4.9,4.8,4.8,4.8,4.9,4.9,VT,Dealer
364,2022,passport ex-l,New,4.9,crystal black pearl,blk lth-trmmed seats,AWD,19–24,Gasoline,9-speed automatic,V6 Cylinder Engine,0,5.0,5.0,4.9,5.0,4.9,5.0,MI,Dealer
365,2017,cr-v ex,Honda Certified,4.8,obsidian blue pearl,gray,FWD,28–34,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,62171,4.8,4.8,4.7,4.7,4.8,4.8,AR,Dealer
366,2019,hr-v sport,Used,4.6,silver metallic,black,FWD,28–34,Gasoline,automatic cvt,1.8L I4 16V MPFI SOHC,54989,4.6,4.6,4.4,4.6,4.8,4.7,SD,Dealer
367,2022,accord hybrid sport,New,5.0,sonic gray pearl,black,FWD,41–44,Hybrid,automatic cvt,2.0L I4 16V MPFI DOHC Hybrid,6,4.9,5.0,5.0,4.9,4.9,5.0,CA,Dealer
368,2011,odyssey ex,Used,4.0,beige,beige,FWD,18–27,Gasoline,5-speed automatic,3.5L V6 24V MPFI SOHC,85576,4.8,4.7,4.5,4.4,4.6,4.6,IL,Dealer
369,2022,pilot sport,New,4.7,crystal black pearl,black,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,5.0,5.0,5.0,5.0,WA,Dealer
370,2021,passport sport,Honda Certified,4.0,modern steel metallic,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,15789,4.9,4.7,4.8,4.6,4.8,4.8,IA,Dealer
371,2020,cr-v ex-l,Used,4.4,crystal black pearl,mocha,AWD,27–32,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,30668,4.9,4.8,4.8,4.8,4.9,4.9,PA,Dealer
372,2022,pilot elite,New,4.4,platinum white pearl,mocha,AWD,19–26,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,11,5.0,5.0,5.0,5.0,5.0,5.0,SC,Dealer
373,2022,passport trailsport,Used,4.9,lunar silver metallic,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2685,5.0,5.0,4.9,5.0,4.9,5.0,NJ,Dealer
374,2022,pilot touring 8-passenger,New,5.0,white,black,AWD,19–26,Gasoline,9-speed automatic,V6 Cylinder Engine,2,5.0,5.0,5.0,5.0,5.0,5.0,WI,Dealer
375,2020,fit lx,Used,4.3,red,black,FWD,33–40,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC,40902,4.7,4.6,4.7,4.8,4.5,4.8,NY,Dealer
376,2018,clarity plug-in hybrid base,Honda Certified,4.7,crystal black,mocha,FWD,23–31,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,27132,4.8,4.7,4.6,4.6,4.4,4.7,MO,Dealer
377,2021,accord sport 1.5t,Used,4.7,sonic gray pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,10820,4.9,4.8,4.8,4.8,4.9,4.8,NY,Dealer
378,2022,accord sport 1.5t,Used,4.9,platinum white pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,5618,5.0,5.0,5.0,5.0,5.0,5.0,OK,Dealer
379,2020,insight touring,Used,4.8,gray,black,FWD,45–51,Hybrid,automatic cvt,1.5L I4 16V MPFI DOHC Hybrid,52170,4.5,4.8,4.5,4.8,4.9,5.0,VT,Dealer
380,2022,ridgeline rtl-e,New,5.0,modern steel metallic,black,AWD,18–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,0,5.0,4.9,4.9,4.3,4.7,5.0,FL,Dealer
381,2020,pilot ex-l,Used,3.4,platinum white pearl,beige,AWD,18–26,Gasoline,6-speed automatic,3.5L V6 24V GDI SOHC,51739,4.6,4.5,4.2,4.1,4.5,4.1,IA,Dealer
382,2022,pilot trailsport,New,4.5,sonic gray pearl,black,AWD,19–25,Gasoline,automatic,Regular Unleaded V-6 3.5 L/212,3,5.0,5.0,5.0,5.0,5.0,5.0,IL,Dealer
383,2023,ridgeline rtl-e,Used,4.4,sonic gray pearl,black,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,2836,5.0,4.8,4.8,4.2,5.0,5.0,CA,Dealer
384,2023,cr-v hybrid sport touring,New,5.0,platinum white pearl,mocha,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,1,5.0,3.0,4.0,4.0,5.0,5.0,FL,Dealer
385,2023,cr-v ex-l,New,4.9,lunar silver metallic,black,FWD,23–31,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,0,5.0,5.0,5.0,4.0,4.0,5.0,NC,Dealer
386,2022,accord sport 1.5t,New,5.0,platinum white pearl,black,FWD,29–35,Gasoline,automatic cvt,1.5L I4 16V GDI DOHC Turbo,3,5.0,5.0,5.0,5.0,5.0,5.0,IN,Dealer
387,2022,pilot trailsport,New,3.7,platinum white pearl,black,AWD,19–25,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,2,5.0,5.0,5.0,5.0,5.0,5.0,IA,Dealer
388,2023,cr-v hybrid sport touring,New,4.9,platinum white pearl,black,AWD,23–31,Hybrid,automatic cvt,2.0L I4 16V GDI DOHC Hybrid,10,5.0,3.0,4.0,4.0,5.0,5.0,TX,Dealer
389,2023,cr-v ex,New,4.4,radiant red metallic,gray,AWD,27–32,Gasoline,variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,5,5.0,5.0,5.0,4.0,4.0,5.0,VA,Dealer
390,2023,cr-v hybrid sport touring,New,3.8,canyon river blue metallic,black,AWD,34–40,Hybrid,variable,Gas/Electric I-4 2.0 L/122,6,5.0,3.0,4.0,4.0,5.0,5.0,MN,Dealer
391,2021,passport sport,Used,4.8,crystal black pearl,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,22463,4.9,4.7,4.8,4.6,4.8,4.8,NY,Dealer
392,2023,passport elite,New,3.9,radiant red metallic,mocha,AWD,23–31,Gasoline,automatic,3.5L V6 24V GDI SOHC,11,4.6,5.0,4.2,4.0,4.8,5.0,NE,Dealer
393,2020,ridgeline sport,Used,4.3,gray,black,AWD,19–24,Gasoline,9-speed automatic,3.5L V6 24V GDI SOHC,15569,4.8,4.7,4.6,4.5,4.7,4.7,CA,Dealer
