,MaritalStatus,NumberOfChildren,NumberOfYoungChildren,Minority,Debts,Income,Education,LegalKnowledge,InvolvedInLegalDispute,ExperienceWithCourtProceedings,CourtProceedingsSatisfaction,ExperienceWithMediation,MediationSatisfaction,ExperienceWithArbitration,ArbitrationSatisfaction,BF2,BF3,BF4,BF6,BF10,BF14,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Student status,Employment status,STNumber,Privacy,PublicVindication,NeutralOpinion,MinimizeCosts,MaintainImproveRelationship,CreativeSolution,ShiftResponsibility,Classification,StrengthPosition,Feelings_anger,Feelings_hate,Feelings_stress,Feelings_sadness,Feelings_indifference,Feelings_frustration,Feelings_confusion,Feelings_happiness,Feelings_fear,Decision
20,3,0,0,0,1,2,4,1,0,0,0,0,0,0,0,4,3,2,4,3,4,0,0,0,1,0,1,0,0,1,1,1,2,15,5,11,0,2,1,5,5,4,5,4,4,3,3,0,1,1,0,0,0,1,0,0,1,5
21,3,0,0,0,1,1,4,2,0,0,0,0,0,0,0,4,4,3,4,2,3,1,1,1,1,0,1,1,0,0,1,1,4,39,17,33,0,1,3,4,2,3,4,4,2,3,0,1,0,0,0,0,0,1,0,0,0,0
22,3,0,0,0,1,1,4,2,0,0,0,0,0,0,0,4,4,3,4,2,3,1,1,1,1,0,1,1,0,0,1,1,4,39,17,33,0,1,7,4,1,3,5,2,2,3,0,1,1,0,0,0,0,0,0,0,0,1
23,3,0,0,0,1,1,4,2,0,0,0,0,0,0,0,4,4,3,4,2,3,1,1,1,1,0,1,1,0,0,1,1,4,39,17,33,0,1,8,4,1,3,5,2,3,3,0,0,0,0,1,0,0,1,0,0,0,3
24,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,3,3,5,2,1,2,1,1,0,1,1,1,1,1,0,1,1,4,39,17,33,1,1,10,1,3,4,4,1,3,4,4,1,1,0,0,0,0,0,0,0,0,5
25,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,3,3,5,2,1,2,1,1,0,1,1,1,1,1,0,1,1,4,39,17,33,1,1,9,1,4,3,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,4
26,3,0,0,0,1,2,3,2,0,0,0,0,0,0,0,3,3,5,2,1,2,1,1,0,1,1,1,1,1,0,1,1,4,39,17,33,1,1,6,2,3,4,4,2,2,5,4,1,0,0,0,0,0,1,0,0,0,0
27,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,4,2,4,2,1,1,1,0,0,0,1,0,0,1,0,0,0,4,32,17,27,0,4,5,4,5,5,5,5,5,2,0,1,0,0,1,1,0,1,0,0,0,3
28,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,4,2,4,2,1,1,1,0,0,0,1,0,0,1,0,0,0,4,32,17,27,0,4,10,5,5,5,5,5,5,3,4,1,1,0,1,1,0,1,0,0,0,0
29,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,4,2,4,2,1,1,1,0,0,0,1,0,0,1,0,0,0,4,32,17,27,0,4,7,5,5,5,5,4,5,4,4,1,1,0,1,1,0,1,0,0,0,3
